Voyage,Date,Time,Machine_Category,Machine_ID,Engine RPM,Lub oil pressure,Lub oil temperature,Coolant temperature,Exhaust temperature,Status,oil_pressure_fault,oil_temp_fault,coolant_temp_fault,exhaust_temp_fault,rpm_fault,num_rules_triggered,is_generator,Status_label,exhaust_temp_missing
V001,04/10/2025 00:00,07:30:00,Engine,ME1,650,4,75,67,360,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,07:30:00,Engine,ME2,650,4.1,76,68,364,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,06:00:00,Generator,GEN2,1540,4.2,76,66.5,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,08:00:00,Engine,ME1,1200,5,80,70,367,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,08:00:00,Engine,ME2,1202,5.03,80.2,71,370,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,06:30:00,Generator,GEN2,1545,4.3,76.5,66.7,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,08:30:00,Engine,ME1,1600,5.8,94.8,74,375,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,08:30:00,Engine,ME2,1600,6.04,93.5,76,377,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,07:00:00,Generator,GEN2,1540,4.3,76.5,66.8,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,09:00:00,Engine,ME1,1600,5.9,94.9,74.3,376,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,09:00:00,Engine,ME2,1600,6.08,93.7,76.4,378,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,07:30:00,Generator,GEN2,1540,4.3,76.8,66.9,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,09:30:00,Engine,ME1,1550,5.4,94,73.9,375,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,09:30:00,Engine,ME2,1555,5.6,93,75.9,377,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,08:00:00,Generator,GEN2,1500,4.1,75,66,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,10:00:00,Engine,ME1,1600,5.8,94.8,74.2,376,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,10:00:00,Engine,ME2,1600,6.06,93.9,76.1,377,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,08:30:00,Generator,GEN2,1540,4.19,76,66.5,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,10:30:00,Engine,ME1,1600,5.9,94.9,74.5,377,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,10:30:00,Engine,ME2,1600,6.07,93.99,76.4,378,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,09:00:00,Generator,GEN2,1540,4.2,76.3,66.7,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,11:00:00,Engine,ME1,1600,5.9,94.9,74.5,377,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,11:00:00,Engine,ME2,1600,6.07,93.98,76.4,378,Normal,0,0,0,0,0,0,0,0,0
V001,04/10/2025 00:00,09:30:00,Generator,GEN2,1540,4.1,76,66,,Normal,0,0,0,0,0,0,1,0,1
V001,04/10/2025 00:00,11:30:00,Engine,ME1,1600,6.5,100,80,400,Fault,0,0,0,0,0,0,0,1,0
V001,04/10/2025 00:00,11:30:00,Engine,ME2,1500,6,93,75.5,376,Normal,0,0,0,0,0,0,0,0,0
